MATCH: Prime: 8662974319, Tangent: 52.970319, Cosine: -0.906129, Sine: 0.999822, Angle: 1.551920, Gamma: 0.246996, Zeta Zero: 52.970321, Difference: 0.000002
MATCH: Prime: 47959584641, Tangent: 224.983322, Cosine: 0.351757, Sine: 0.999990, Angle: 1.566352, Gamma: 0.249293, Zeta Zero: 224.983324, Difference: 0.000002
MATCH: Prime: 86995790569, Tangent: 25.010851, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000006
MATCH: Prime: 73902187147, Tangent: 60.831774, Cosine: -0.416219, Sine: 0.999865, Angle: 1.554359, Gamma: 0.247384, Zeta Zero: 60.831778, Difference: 0.000004
MATCH: Prime: 48014329001, Tangent: 521.525192, Cosine: 0.999783, Sine: 0.999998, Angle: 1.568879, Gamma: 0.249695, Zeta Zero: 521.525193, Difference: 0.000001
MATCH: Prime: 74012604971, Tangent: 21.022029, Cosine: -0.566026, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000010
MATCH: Prime: 74027794427, Tangent: 69.546392, Cosine: 0.908401, Sine: 0.999897, Angle: 1.556418, Gamma: 0.247712, Zeta Zero: 69.546401, Difference: 0.000009
MATCH: Prime: 87171621853, Tangent: 21.022032, Cosine: -0.566028, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000007
MATCH: Prime: 87182174579, Tangent: 101.317850, Cosine: 0.706054, Sine: 0.999951, Angle: 1.560927, Gamma: 0.248429, Zeta Zero: 101.317851, Difference: 0.000001
MATCH: Prime: 100197449617, Tangent: 48.005144, Cosine: -0.636184, Sine: 0.999783, Angle: 1.549968, Gamma: 0.246685, Zeta Zero: 48.005150, Difference: 0.000006
MATCH: Prime: 74372495521, Tangent: 52.970321, Cosine: -0.906129, Sine: 0.999822, Angle: 1.551920, Gamma: 0.246996, Zeta Zero: 52.970321, Difference: 0.000000
