MATCH: Prime: 48014329001, Tangent: 521.525192, Cosine: 0.999783, Sine: 0.999998, Angle: 1.568879, Gamma: 0.249695, Zeta Zero: 521.525193, Difference: 0.000001
MATCH: Prime: 87182174579, Tangent: 101.317850, Cosine: 0.706054, Sine: 0.999951, Angle: 1.560927, Gamma: 0.248429, Zeta Zero: 101.317851, Difference: 0.000001
MATCH: Prime: 74372495521, Tangent: 52.970321, Cosine: -0.906129, Sine: 0.999822, Angle: 1.551920, Gamma: 0.246996, Zeta Zero: 52.970321, Difference: 0.000000
MATCH: Prime: 100810871639, Tangent: 269.970448, Cosine: 0.978750, Sine: 0.999993, Angle: 1.567092, Gamma: 0.249410, Zeta Zero: 269.970449, Difference: 0.000001
MATCH: Prime: 88572002879, Tangent: 21.022039, Cosine: -0.566034, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000000
MATCH: Prime: 75849597023, Tangent: 14.134725, Cosine: 0.002442, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000000
MATCH: Prime: 10140075821, Tangent: 14.134725, Cosine: 0.002442, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000000
MATCH: Prime: 89710989413, Tangent: 25.010856, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000001
MATCH: Prime: 90393711997, Tangent: 69.546400, Cosine: 0.908397, Sine: 0.999897, Angle: 1.556418, Gamma: 0.247712, Zeta Zero: 69.546401, Difference: 0.000001
MATCH: Prime: 78361746217, Tangent: 87.425274, Cosine: 0.858058, Sine: 0.999935, Angle: 1.559358, Gamma: 0.248180, Zeta Zero: 87.425274, Difference: 0.000000
MATCH: Prime: 52633267051, Tangent: 21.022039, Cosine: -0.566034, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000000
MATCH: Prime: 79156715921, Tangent: 82.910380, Cosine: 0.335208, Sine: 0.999927, Angle: 1.558736, Gamma: 0.248080, Zeta Zero: 82.910380, Difference: 0.000000
MATCH: Prime: 10596600407, Tangent: 25.010857, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000000
MATCH: Prime: 80625824627, Tangent: 59.347043, Cosine: -0.941677, Sine: 0.999858, Angle: 1.553948, Gamma: 0.247318, Zeta Zero: 59.347044, Difference: 0.000001
MATCH: Prime: 93838706399, Tangent: 1981.748767, Cosine: -0.827477, Sine: 1.000000, Angle: 1.570292, Gamma: 0.249920, Zeta Zero: 1981.748768, Difference: 0.000001
MATCH: Prime: 55247680703, Tangent: 32.935061, Cosine: 0.051639, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000000
MATCH: Prime: 108144821137, Tangent: 21.022038, Cosine: -0.566033, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000001
MATCH: Prime: 95422415281, Tangent: 14.134724, Cosine: 0.002443, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000001
MATCH: Prime: 83730639667, Tangent: 256.380712, Cosine: 0.334346, Sine: 0.999992, Angle: 1.566896, Gamma: 0.249379, Zeta Zero: 256.380713, Difference: 0.000001
MATCH: Prime: 85458221143, Tangent: 129.578703, Cosine: -0.715537, Sine: 0.999970, Angle: 1.563079, Gamma: 0.248772, Zeta Zero: 129.578704, Difference: 0.000001
MATCH: Prime: 11209042717, Tangent: 14.134724, Cosine: 0.002443, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000001
MATCH: Prime: 112910892173, Tangent: 150.925256, Cosine: 0.991716, Sine: 0.999978, Angle: 1.564171, Gamma: 0.248945, Zeta Zero: 150.925257, Difference: 0.000001
MATCH: Prime: 61415631157, Tangent: 32.935061, Cosine: 0.051639, Sine: 0.999539, Angle: 1.540443, Gamma: 0.245169, Zeta Zero: 32.935061, Difference: 0.000000
MATCH: Prime: 113576904811, Tangent: 94.651343, Cosine: 0.919667, Sine: 0.999944, Angle: 1.560232, Gamma: 0.248319, Zeta Zero: 94.651344, Difference: 0.000001
MATCH: Prime: 6180339433, Tangent: 69.546400, Cosine: 0.908397, Sine: 0.999897, Angle: 1.556418, Gamma: 0.247712, Zeta Zero: 69.546401, Difference: 0.000001
MATCH: Prime: 72276104947, Tangent: 25.010856, Cosine: 0.992581, Sine: 0.999202, Angle: 1.530835, Gamma: 0.243640, Zeta Zero: 25.010857, Difference: 0.000001
MATCH: Prime: 22551213211, Tangent: 1645.573759, Cosine: 0.813419, Sine: 1.000000, Angle: 1.570189, Gamma: 0.249903, Zeta Zero: 1645.573760, Difference: 0.000001
MATCH: Prime: 71819580361, Tangent: 14.134724, Cosine: 0.002443, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000001
MATCH: Prime: 15239059379, Tangent: 14.134725, Cosine: 0.002442, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000000
MATCH: Prime: 36894484423, Tangent: 60.831777, Cosine: -0.416216, Sine: 0.999865, Angle: 1.554359, Gamma: 0.247384, Zeta Zero: 60.831778, Difference: 0.000001
MATCH: Prime: 2903158471, Tangent: 14.134725, Cosine: 0.002442, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000000
MATCH: Prime: 45009844753, Tangent: 14.134725, Cosine: 0.002442, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000000
MATCH: Prime: 30726533969, Tangent: 60.831778, Cosine: -0.416215, Sine: 0.999865, Angle: 1.554359, Gamma: 0.247384, Zeta Zero: 60.831778, Difference: 0.000000
MATCH: Prime: 30740410079, Tangent: 30.424875, Cosine: 0.547810, Sine: 0.999460, Angle: 1.537940, Gamma: 0.244771, Zeta Zero: 30.424876, Difference: 0.000001
MATCH: Prime: 31655311823, Tangent: 37.586178, Cosine: 0.993630, Sine: 0.999646, Angle: 1.544197, Gamma: 0.245767, Zeta Zero: 37.586178, Difference: 0.000000
MATCH: Prime: 47534283493, Tangent: 21.022038, Cosine: -0.566033, Sine: 0.998871, Angle: 1.523263, Gamma: 0.242435, Zeta Zero: 21.022039, Difference: 0.000001
MATCH: Prime: 34811877637, Tangent: 14.134724, Cosine: 0.002443, Sine: 0.997507, Angle: 1.500166, Gamma: 0.238759, Zeta Zero: 14.134725, Difference: 0.000001
